APR_MDC_key,week_number,day_number,hospitalizations
02,38,2,4.0
02,38,3,11.0
02,38,4,4.5
02,38,5,3.5
02,38,6,2.0
02,38,7,1.0
02,39,1,8.0
02,39,2,6.5
02,39,3,2.0
02,39,4,12.0
02,39,5,4.5
02,39,7,1.0
02,40,1,5.5
02,40,2,7.0
02,40,3,8.0
02,40,4,6.0
02,40,5,1.0
02,40,7,2.0
02,41,1,5.0
02,41,2,3.0
02,41,3,2.0
02,41,4,11.5
02,41,5,5.5
02,41,7,1.5
02,42,1,6.5
02,42,2,5.5
02,42,3,4.5
02,42,4,4.5
02,42,5,6.0
02,42,6,2.0
02,42,7,1.0
02,43,1,8.5
02,43,2,4.5
02,43,3,3.0
02,43,4,13.0
02,43,5,8.0
02,43,7,1.0
02,44,1,3.5
02,44,2,2.5
02,44,3,4.5
02,44,4,4.0
02,44,5,2.0
02,44,6,2.0
02,44,7,1.0
02,45,1,6.5
02,45,2,4.5
02,45,3,1.5
02,45,4,11.5
02,45,5,5.0
02,45,6,1.0
02,46,1,8.0
02,46,2,6.0
02,46,3,6.5
02,46,4,4.0
02,46,5,3.0
02,46,6,2.5
02,46,7,1.5
02,47,1,6.0
02,47,2,7.0
02,47,3,2.0
02,47,4,5.0
02,47,5,3.0
02,47,6,1.5
02,47,7,1.0
02,48,1,5.5
02,48,2,5.5
02,48,3,9.5
02,48,4,7.0
02,48,5,4.5
02,48,6,1.5
02,48,7,1.0
02,49,1,8.0
02,49,2,8.0
02,49,3,2.0
02,49,4,14.0
02,49,5,7.0
02,50,1,8.0
02,50,2,5.0
02,50,3,10.5
02,50,4,5.0
02,50,5,5.0
02,50,6,1.5
02,50,7,1.5
02,51,1,5.5
02,51,2,6.5
02,51,3,1.0
02,51,4,12.0
02,51,5,4.5
02,52,1,8.0
02,52,2,1.0
02,52,3,1.0
02,52,4,7.0
02,52,5,2.0
02,52,6,1.0
02,52,7,1.0
03,1,1,13.0
03,1,2,11.0
03,1,3,14.5
03,1,4,17.5
03,1,5,16.5
03,1,6,4.0
03,1,7,5.0
03,2,1,14.5
03,2,2,20.5
03,2,3,16.5
03,2,4,16.0
03,2,5,21.0
03,2,6,4.0
03,2,7,3.5
03,3,1,12.5
03,3,2,21.0
03,3,3,16.0
03,3,4,20.5
03,3,5,17.0
03,3,6,3.5
03,3,7,6.5
03,4,1,13.0
03,4,2,22.5
03,4,3,18.5
03,4,4,17.0
03,4,5,16.5
03,4,6,4.0
03,4,7,5.0
03,5,1,13.0
03,5,2,24.0
03,5,3,17.5
03,5,4,22.0
03,5,5,18.5
03,5,6,4.0
03,5,7,4.5
03,6,1,16.0
03,6,2,21.0
03,6,3,16.0
03,6,4,19.5
03,6,5,20.0
03,6,6,6.0
03,6,7,6.5
03,7,1,15.5
03,7,2,21.0
03,7,3,17.5
03,7,4,21.5
03,7,5,18.5
03,7,6,4.0
03,7,7,6.0
03,8,1,15.5
03,8,2,22.5
03,8,3,19.5
03,8,4,20.5
03,8,5,19.0
03,8,6,5.0
03,8,7,5.5
03,9,1,14.0
03,9,2,20.0
03,9,3,14.5
03,9,4,23.5
03,9,5,18.0
03,9,6,5.0
03,9,7,5.0
03,10,1,10.0
03,10,2,24.0
03,10,3,16.5
03,10,4,17.5
03,10,5,19.0
03,10,6,5.5
03,10,7,6.0
03,11,1,13.0
03,11,2,19.0
03,11,3,16.0
03,11,4,23.5
03,11,5,19.0
03,11,6,3.5
03,11,7,4.0
03,12,1,15.5
03,12,2,24.5
03,12,3,13.0
03,12,4,15.5
03,12,5,17.5
03,12,6,3.5
03,12,7,3.0
03,13,1,14.0
03,13,2,22.0
03,13,3,16.5
03,13,4,22.0
03,13,5,23.5
03,13,6,2.5
03,13,7,4.0
03,14,1,13.0
03,14,2,20.0
03,14,3,13.5
03,14,4,20.0
03,14,5,23.0
03,14,6,2.5
03,14,7,3.5
03,15,1,14.0
03,15,2,20.0
03,15,3,17.0
03,15,4,20.5
03,15,5,18.5
03,15,6,5.0
03,15,7,4.0
03,16,1,15.0
03,16,2,22.5
03,16,3,17.5
03,16,4,16.0
03,16,5,19.0
03,16,6,5.5
03,16,7,4.5
03,17,1,7.5
03,17,2,22.5
03,17,3,18.0
03,17,4,21.5
03,17,5,19.5
03,17,6,3.5
03,17,7,3.5
03,18,1,12.0
03,18,2,20.5
03,18,3,16.5
03,18,4,14.5
03,18,5,16.5
03,18,6,4.5
03,18,7,5.0
03,19,1,17.5
03,19,2,21.5
03,19,3,16.5
03,19,4,21.5
03,19,5,17.0
03,19,6,4.5
03,19,7,5.5
03,20,1,10.5
03,20,2,21.0
03,20,3,15.0
03,20,4,19.0
03,20,5,20.5
03,20,6,4.5
03,20,7,4.5
03,21,1,15.5
03,21,2,21.5
03,21,3,17.5
03,21,4,21.5
03,21,5,18.0
03,21,6,3.0
03,21,7,5.0
03,22,1,15.5
03,22,2,24.5
03,22,3,19.0
03,22,4,15.0
03,22,5,13.0
03,22,6,2.5
03,22,7,4.0
03,23,1,17.5
03,23,2,21.0
03,23,3,15.5
03,23,4,23.0
03,23,5,21.0
03,23,6,3.5
03,23,7,4.0
03,24,1,16.5
03,24,2,24.0
03,24,3,14.5
03,24,4,17.5
03,24,5,17.5
03,24,6,2.5
03,24,7,4.0
03,25,1,13.5
03,25,2,18.5
03,25,3,18.0
03,25,4,22.0
03,25,5,17.0
03,25,6,3.5
03,25,7,5.5
03,26,1,13.0
03,26,2,21.0
03,26,3,16.0
03,26,4,14.5
03,26,5,20.0
03,26,6,3.0
03,26,7,4.0
03,27,1,11.0
03,27,2,23.5
03,27,3,15.0
03,27,4,22.0
03,27,5,18.0
03,27,6,4.0
03,27,7,5.0
03,28,1,12.5
03,28,2,17.5
03,28,3,14.0
03,28,4,14.5
03,28,5,18.0
03,28,6,2.0
03,28,7,3.5
03,29,1,10.5
03,29,2,11.5
03,29,3,13.0
03,29,4,14.0
03,29,5,9.5
03,29,6,3.0
03,29,7,4.0
03,30,1,12.5
03,30,2,14.0
03,30,3,10.5
03,30,4,11.0
03,30,5,12.0
03,30,6,2.5
03,30,7,4.5
03,31,1,9.5
03,31,2,17.5
03,31,3,12.0
03,31,4,14.0
03,31,5,14.5
03,31,6,2.0
03,31,7,4.0
03,32,1,9.0
03,32,2,13.0
03,32,3,11.0
03,32,4,10.0
03,32,5,15.5
03,32,6,3.0
03,32,7,3.0
03,33,1,8.0
03,33,2,15.0
03,33,3,9.5
03,33,4,14.0
03,33,5,17.0
03,33,6,3.0
03,33,7,3.5
03,34,1,14.5
03,34,2,23.0
03,34,3,13.0
03,34,4,16.5
03,34,5,19.0
03,34,6,4.0
03,34,7,4.0
03,35,1,12.0
03,35,2,19.5
03,35,3,12.5
03,35,4,17.0
03,35,5,17.0
03,35,6,2.5
03,35,7,2.0
03,36,1,13.5
03,36,2,18.5
03,36,3,12.0
03,36,4,16.0
03,36,5,16.0
03,36,6,4.0
03,36,7,6.0
03,37,1,12.5
03,37,2,18.5
03,37,3,16.0
03,37,4,19.0
03,37,5,16.0
03,37,6,2.5
03,37,7,3.5
03,38,1,11.0
03,38,2,18.0
03,38,3,14.0
03,38,4,16.5
03,38,5,16.5
03,38,6,4.5
03,38,7,4.5
03,39,1,16.5
03,39,2,18.5
03,39,3,15.5
03,39,4,18.5
03,39,5,17.0
03,39,6,5.0
03,39,7,3.0
03,40,1,12.5
03,40,2,21.0
03,40,3,11.5
03,40,4,17.5
03,40,5,18.5
03,40,6,3.5
03,40,7,4.0
03,41,1,14.0
03,41,2,19.0
03,41,3,19.0
03,41,4,17.5
03,41,5,18.0
03,41,6,4.5
03,41,7,6.5
03,42,1,12.5
03,42,2,17.5
03,42,3,15.5
03,42,4,17.5
03,42,5,18.0
03,42,6,4.5
03,42,7,4.5
03,43,1,17.5
03,43,2,20.5
03,43,3,20.0
03,43,4,17.5
03,43,5,18.5
03,43,6,3.5
03,43,7,3.0
03,44,1,14.0
03,44,2,18.5
03,44,3,12.0
03,44,4,14.5
03,44,5,16.5
03,44,6,2.5
03,44,7,4.0
03,45,1,14.0
03,45,2,21.0
03,45,3,17.5
03,45,4,20.0
03,45,5,17.0
03,45,6,5.0
03,45,7,3.0
03,46,1,14.5
03,46,2,18.0
03,46,3,18.5
03,46,4,19.5
03,46,5,17.0
03,46,6,4.0
03,46,7,3.0
03,47,1,18.0
03,47,2,20.0
03,47,3,17.5
